"Bus,""No"",""Time"",""State"",""ID (hex)"",""DLC"",""Data (hex)"",""ASCII"""
"USB-to-CAN V2 compact  CAN-1,""492"",""15:35:56.345"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""493"",""15:35:56.348"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""494"",""15:35:56.349"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""495"",""15:35:56.350"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""496"",""15:35:56.350"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""497"",""15:35:56.352"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""498"",""15:35:56.355"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""499"",""15:35:56.356"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""500"",""15:35:56.360"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""501"",""15:35:56.368"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""502"",""15:35:56.370"",""  E   "",""18FEEE00"",""8"",""79 48 FF FF FF FF FF FF"",""yH......"""
"USB-to-CAN V2 compact  CAN-1,""503"",""15:35:56.372"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""504"",""15:35:56.376"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""505"",""15:35:56.377"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""506"",""15:35:56.388"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""507"",""15:35:56.390"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""508"",""15:35:56.392"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""509"",""15:35:56.395"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""510"",""15:35:56.396"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""511"",""15:35:56.400"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""512"",""15:35:56.404"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""513"",""15:35:56.404"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""514"",""15:35:56.405"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""515"",""15:35:56.408"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""516"",""15:35:56.410"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""517"",""15:35:56.412"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""518"",""15:35:56.416"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""519"",""15:35:56.428"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""520"",""15:35:56.430"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""521"",""15:35:56.431"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""522"",""15:35:56.432"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""523"",""15:35:56.436"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""524"",""15:35:56.440"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""525"",""15:35:56.445"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""526"",""15:35:56.448"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""527"",""15:35:56.450"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""528"",""15:35:56.452"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""529"",""15:35:56.455"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""530"",""15:35:56.456"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""531"",""15:35:56.457"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""532"",""15:35:56.458"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""533"",""15:35:56.460"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""534"",""15:35:56.468"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""535"",""15:35:56.472"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""536"",""15:35:56.476"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""537"",""15:35:56.484"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""538"",""15:35:56.484"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""539"",""15:35:56.488"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""540"",""15:35:56.490"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""541"",""15:35:56.492"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""542"",""15:35:56.495"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""543"",""15:35:56.496"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""544"",""15:35:56.500"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""545"",""15:35:56.505"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""546"",""15:35:56.508"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""547"",""15:35:56.510"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""548"",""15:35:56.511"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""549"",""15:35:56.511"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""550"",""15:35:56.512"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""551"",""15:35:56.516"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""552"",""15:35:56.528"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""553"",""15:35:56.532"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""554"",""15:35:56.536"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""555"",""15:35:56.538"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""556"",""15:35:56.538"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""557"",""15:35:56.540"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""558"",""15:35:56.545"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""559"",""15:35:56.548"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""560"",""15:35:56.550"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""561"",""15:35:56.552"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""562"",""15:35:56.555"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""563"",""15:35:56.556"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""564"",""15:35:56.560"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""565"",""15:35:56.565"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""566"",""15:35:56.566"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""567"",""15:35:56.568"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""568"",""15:35:56.572"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""569"",""15:35:56.576"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""570"",""15:35:56.588"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""571"",""15:35:56.590"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""572"",""15:35:56.592"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""573"",""15:35:56.593"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""574"",""15:35:56.594"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""575"",""15:35:56.595"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""576"",""15:35:56.596"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""577"",""15:35:56.600"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""578"",""15:35:56.605"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""579"",""15:35:56.608"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""580"",""15:35:56.610"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""581"",""15:35:56.612"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""582"",""15:35:56.616"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""583"",""15:35:56.619"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""584"",""15:35:56.620"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""585"",""15:35:56.620"",""  E   "",""18FEEF00"",""8"",""02 FF FF 00 FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""586"",""15:35:56.628"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""587"",""15:35:56.632"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""588"",""15:35:56.636"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""589"",""15:35:56.640"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""590"",""15:35:56.645"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""591"",""15:35:56.646"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""592"",""15:35:56.646"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""593"",""15:35:56.648"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""594"",""15:35:56.650"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""595"",""15:35:56.652"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""596"",""15:35:56.655"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""597"",""15:35:56.656"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""598"",""15:35:56.660"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""599"",""15:35:56.668"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""600"",""15:35:56.672"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""601"",""15:35:56.673"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""602"",""15:35:56.676"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""603"",""15:35:56.688"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""604"",""15:35:56.690"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""605"",""15:35:56.692"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""606"",""15:35:56.695"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""607"",""15:35:56.696"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""608"",""15:35:56.699"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""609"",""15:35:56.700"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""610"",""15:35:56.700"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""611"",""15:35:56.705"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""612"",""15:35:56.708"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""613"",""15:35:56.710"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""614"",""15:35:56.712"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""615"",""15:35:56.716"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""616"",""15:35:56.726"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""617"",""15:35:56.726"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""618"",""15:35:56.728"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""619"",""15:35:56.732"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""620"",""15:35:56.736"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""621"",""15:35:56.740"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""622"",""15:35:56.745"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""623"",""15:35:56.748"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""624"",""15:35:56.750"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""625"",""15:35:56.752"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""626"",""15:35:56.753"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""627"",""15:35:56.755"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""628"",""15:35:56.756"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""629"",""15:35:56.760"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""630"",""15:35:56.768"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""631"",""15:35:56.772"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""632"",""15:35:56.776"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""633"",""15:35:56.780"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""634"",""15:35:56.780"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""635"",""15:35:56.788"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""636"",""15:35:56.790"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""637"",""15:35:56.792"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""638"",""15:35:56.795"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""639"",""15:35:56.796"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""640"",""15:35:56.800"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""641"",""15:35:56.805"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""642"",""15:35:56.808"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""643"",""15:35:56.809"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""644"",""15:35:56.810"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""645"",""15:35:56.812"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""646"",""15:35:56.816"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""647"",""15:35:56.828"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""648"",""15:35:56.832"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""649"",""15:35:56.836"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""650"",""15:35:56.837"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""651"",""15:35:56.840"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""652"",""15:35:56.845"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""653"",""15:35:56.848"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""654"",""15:35:56.850"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""655"",""15:35:56.852"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""656"",""15:35:56.855"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""657"",""15:35:56.856"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""658"",""15:35:56.860"",""  E   "",""18F00400"",""8"",""00 7D 7D 00 00 07 00 7D"","".}}....}"""
"USB-to-CAN V2 compact  CAN-1,""659"",""15:35:56.864"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""660"",""15:35:56.864"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""661"",""15:35:56.865"",""  E   "",""18FECA00"",""8"",""03 FF 00 00 00 00 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""662"",""15:35:56.868"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""663"",""15:35:56.870"",""  E   "",""18FEEE00"",""8"",""79 49 FF FF FF FF FF FF"",""yI......"""
"USB-to-CAN V2 compact  CAN-1,""664"",""15:35:56.872"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 13 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""665"",""15:35:56.876"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 07 FF 01"",""........"""
"USB-to-CAN V2 compact  CAN-1,""666"",""15:35:56.888"",""  E   "",""18FF0104"",""8"",""00 10 00 09 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""667"",""15:35:56.890"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""668"",""15:35:56.891"",""  E   "","" CFDD680"",""8"",""01 00 01 00 F0 30 3F FF"","".....0?."""
"USB-to-CAN V2 compact  CAN-1,""669"",""15:35:56.891"",""  E   "","" CFDD780"",""8"",""F3 FF FF FF FF FF FF FF"",""........"""
